                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0597,                0.64996,                 0.9743,                0.76946,                0.64861,                0.71889,                0.44097,                 1.1931,                0.72586,                 1.0204,               0.005149,               0.005149,               0.005149
                     51,                 1.0607,                0.64504,                0.97681,                0.76846,                0.65417,                0.72098,                0.44042,                 1.1927,                0.71996,                 1.0201,                0.00505,                0.00505,                0.00505
                     52,                 1.0648,                0.64805,                0.97597,                0.77555,                 0.6542,                0.72171,                0.44168,                 1.1924,                0.72089,                 1.0203,               0.004951,               0.004951,               0.004951
                     53,                  1.052,                0.64151,                0.97483,                0.76112,                0.65421,                0.71862,                 0.4423,                 1.1896,                 0.7187,                 1.0209,               0.004852,               0.004852,               0.004852
                     54,                 1.0517,                0.64247,                0.97497,                0.76159,                0.65446,                 0.7203,                0.44188,                 1.1864,                0.71988,                 1.0182,               0.004753,               0.004753,               0.004753
                     55,                 1.0393,                 0.6315,                0.97043,                0.77314,                0.65794,                0.72477,                0.44346,                 1.1875,                0.71855,                 1.0186,               0.004654,               0.004654,               0.004654
                     56,                 1.0423,                0.63138,                0.97225,                0.77317,                0.65218,                0.72116,                0.44335,                 1.1852,                0.71682,                 1.0186,               0.004555,               0.004555,               0.004555
                     57,                 1.0386,                0.63105,                0.96723,                0.76967,                0.65993,                0.72401,                0.44502,                 1.1844,                0.71193,                 1.0171,               0.004456,               0.004456,               0.004456
                     58,                 1.0307,                0.62636,                0.96653,                0.76058,                0.65626,                 0.7222,                0.44594,                  1.179,                0.71259,                 1.0147,               0.004357,               0.004357,               0.004357
                     59,                 1.0351,                0.62542,                0.96749,                0.76375,                0.65501,                0.72228,                0.44555,                 1.1798,                0.71133,                 1.0146,               0.004258,               0.004258,               0.004258
                     60,                 1.0224,                0.61842,                  0.965,                0.77028,                0.65567,                0.72387,                 0.4464,                 1.1798,                0.70916,                 1.0149,               0.004159,               0.004159,               0.004159
                     61,                 1.0152,                0.61521,                 0.9629,                0.77014,                 0.6543,                0.72482,                0.44598,                 1.1786,                0.70816,                 1.0149,                0.00406,                0.00406,                0.00406
                     62,                 1.0352,                0.62519,                0.96577,                0.77983,                0.65316,                0.72728,                0.44717,                 1.1786,                0.70733,                 1.0129,               0.003961,               0.003961,               0.003961
                     63,                 1.0244,                0.61938,                0.96293,                0.78835,                0.64957,                0.72551,                0.44804,                 1.1768,                0.70547,                 1.0118,               0.003862,               0.003862,               0.003862
                     64,                 1.0135,                 0.6113,                 0.9638,                0.78556,                0.65149,                0.72516,                0.44883,                 1.1761,                 0.7037,                 1.0113,               0.003763,               0.003763,               0.003763
                     65,                 1.0117,                0.60815,                0.96093,                0.78051,                  0.652,                0.72439,                0.44836,                  1.174,                0.70199,                 1.0113,               0.003664,               0.003664,               0.003664
                     66,                 1.0064,                0.60851,                0.96075,                0.77461,                0.65262,                0.72379,                0.44849,                 1.1716,                0.70155,                  1.011,               0.003565,               0.003565,               0.003565
                     67,                 1.0121,                0.61259,                0.95955,                0.78826,                0.64825,                0.72607,                0.44971,                 1.1711,                0.70014,                 1.0114,               0.003466,               0.003466,               0.003466
                     68,                 1.0169,                 0.6138,                0.96152,                0.77267,                0.65482,                0.72656,                0.45094,                 1.1693,                0.69945,                 1.0104,               0.003367,               0.003367,               0.003367
                     69,                 1.0027,                0.60333,                0.95716,                 0.7691,                 0.6554,                0.72624,                0.45099,                 1.1692,                0.69775,                 1.0103,               0.003268,               0.003268,               0.003268
                     70,                 0.9935,                0.59713,                0.95584,                0.77073,                0.65306,                0.72404,                0.45198,                 1.1684,                0.69694,                 1.0105,               0.003169,               0.003169,               0.003169
                     71,                0.99723,                0.60052,                0.95723,                0.77653,                0.65293,                0.72666,                0.45197,                 1.1675,                0.69637,                 1.0101,                0.00307,                0.00307,                0.00307
                     72,                0.99625,                0.60079,                0.95467,                0.77393,                0.65289,                0.72538,                 0.4512,                 1.1674,                0.69592,                   1.01,               0.002971,               0.002971,               0.002971
                     73,                0.98718,                0.59786,                0.95411,                0.77129,                0.65468,                0.72515,                0.45165,                 1.1668,                0.69482,                 1.0096,               0.002872,               0.002872,               0.002872
                     74,                0.98571,                0.59124,                0.95269,                0.77201,                0.65472,                0.72557,                0.45225,                 1.1668,                0.69319,                 1.0098,               0.002773,               0.002773,               0.002773
                     75,                0.98568,                0.59181,                0.95308,                 0.7652,                 0.6599,                  0.727,                0.45251,                 1.1667,                0.69278,                 1.0101,               0.002674,               0.002674,               0.002674
                     76,                 0.9978,                0.59621,                0.95465,                0.77109,                0.65945,                0.72847,                0.45264,                 1.1657,                0.69156,                 1.0094,               0.002575,               0.002575,               0.002575
                     77,                0.97507,                0.58515,                 0.9497,                0.76817,                0.66046,                0.72798,                 0.4532,                 1.1654,                0.69137,                 1.0091,               0.002476,               0.002476,               0.002476
                     78,                0.98042,                0.58668,                 0.9496,                0.77059,                0.66018,                0.72942,                0.45358,                 1.1653,                0.69132,                 1.0089,               0.002377,               0.002377,               0.002377
                     79,                0.97716,                0.58506,                0.94939,                0.77268,                0.66121,                 0.7301,                0.45377,                 1.1647,                0.69068,                 1.0084,               0.002278,               0.002278,               0.002278
                     80,                0.96991,                 0.5809,                0.94783,                0.77414,                0.66295,                0.73114,                0.45431,                  1.164,                0.68985,                  1.008,               0.002179,               0.002179,               0.002179
                     81,                 0.9736,                0.58233,                0.94914,                0.77388,                  0.663,                0.73099,                0.45472,                 1.1635,                0.68891,                 1.0075,                0.00208,                0.00208,                0.00208
                     82,                0.96709,                 0.5775,                0.94636,                0.77332,                0.66525,                0.73117,                 0.4548,                 1.1635,                0.68806,                 1.0073,               0.001981,               0.001981,               0.001981
                     83,                0.95532,                0.57259,                0.94266,                0.77451,                0.66473,                0.73089,                0.45536,                 1.1628,                0.68697,                  1.007,               0.001882,               0.001882,               0.001882
                     84,                0.95814,                0.57247,                0.94497,                 0.7751,                0.66228,                0.73065,                0.45532,                 1.1624,                0.68652,                  1.007,               0.001783,               0.001783,               0.001783
                     85,                0.96102,                0.57122,                0.94661,                0.77447,                0.66122,                0.73022,                0.45591,                 1.1616,                0.68566,                 1.0068,               0.001684,               0.001684,               0.001684
                     86,                0.95414,                0.56673,                0.94183,                0.77589,                0.66293,                0.73252,                0.45664,                 1.1612,                0.68529,                 1.0067,               0.001585,               0.001585,               0.001585
                     87,                0.95126,                0.56835,                0.94185,                0.77583,                0.66173,                 0.7321,                0.45688,                 1.1611,                0.68484,                 1.0065,               0.001486,               0.001486,               0.001486
                     88,                0.94686,                0.56196,                0.93939,                0.77444,                0.66191,                0.73239,                0.45695,                 1.1615,                0.68407,                 1.0067,               0.001387,               0.001387,               0.001387
                     89,                0.94033,                0.55826,                0.93779,                0.77263,                 0.6632,                0.73214,                0.45648,                 1.1612,                0.68357,                 1.0065,               0.001288,               0.001288,               0.001288
                     90,                0.94088,                0.56049,                0.93932,                0.77046,                0.66292,                0.73143,                0.45681,                 1.1611,                0.68305,                 1.0065,               0.001189,               0.001189,               0.001189
                     91,                0.93196,                0.55387,                 0.9372,                 0.7732,                0.66235,                0.73192,                0.45732,                  1.161,                0.68257,                 1.0064,                0.00109,                0.00109,                0.00109
                     92,                0.94451,                0.55956,                0.93971,                0.77608,                0.66145,                0.73207,                 0.4574,                 1.1608,                0.68256,                 1.0062,               0.000991,               0.000991,               0.000991
                     93,                0.93954,                0.55702,                0.93893,                0.77538,                 0.6617,                0.73205,                0.45729,                 1.1607,                0.68216,                 1.0061,               0.000892,               0.000892,               0.000892
                     94,                0.93145,                0.55015,                0.93592,                0.77366,                0.66422,                 0.7323,                0.45769,                 1.1609,                0.68202,                  1.006,               0.000793,               0.000793,               0.000793
                     95,                0.92928,                0.54946,                0.93662,                0.77978,                0.65924,                0.73133,                0.45761,                 1.1608,                0.68169,                  1.006,               0.000694,               0.000694,               0.000694
                     96,                  0.932,                0.55254,                0.93694,                0.77091,                0.66419,                0.73138,                0.45782,                 1.1605,                0.68138,                 1.0058,               0.000595,               0.000595,               0.000595
                     97,                0.92538,                0.54786,                0.93576,                0.77793,                0.66144,                 0.7324,                0.45785,                 1.1603,                0.68104,                 1.0058,               0.000496,               0.000496,               0.000496
                     98,                0.93049,                0.55225,                0.93756,                0.77518,                 0.6608,                0.73179,                0.45808,                 1.1604,                0.68094,                 1.0056,               0.000397,               0.000397,               0.000397
                     99,                0.91978,                0.54479,                0.93345,                0.77595,                0.66204,                0.73311,                0.45825,                 1.1603,                0.68076,                 1.0056,               0.000298,               0.000298,               0.000298
