                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.70861,                0.37755,                0.90366,                0.77386,                0.69694,                0.76206,                0.49331,                 1.1337,                0.60341,                 1.1137,               0.001684,               0.001684,               0.001684
                     86,                0.70349,                  0.373,                0.89958,                0.77139,                0.69883,                  0.761,                0.49325,                 1.1348,                0.60358,                 1.1152,               0.001585,               0.001585,               0.001585
                     87,                 0.7015,                 0.3707,                0.90148,                 0.7751,                0.69646,                0.76217,                0.49393,                 1.1357,                0.60433,                 1.1165,               0.001486,               0.001486,               0.001486
                     88,                0.69055,                0.36565,                 0.8964,                 0.7756,                 0.6947,                0.76305,                0.49398,                 1.1361,                0.60482,                 1.1173,               0.001387,               0.001387,               0.001387
                     89,                0.68764,                0.36229,                0.89619,                 0.7772,                0.69653,                  0.763,                0.49424,                 1.1366,                0.60523,                 1.1181,               0.001288,               0.001288,               0.001288
                     90,                0.68722,                0.36356,                 0.8956,                0.77599,                 0.6963,                0.76256,                0.49402,                  1.137,                0.60622,                 1.1188,               0.001189,               0.001189,               0.001189
                     91,                0.67556,                0.35672,                0.89205,                 0.7778,                0.69581,                0.76255,                0.49436,                 1.1377,                0.60666,                 1.1198,                0.00109,                0.00109,                0.00109
                     92,                0.67779,                0.35676,                0.89197,                0.77831,                0.69582,                0.76303,                0.49413,                 1.1385,                0.60693,                 1.1207,               0.000991,               0.000991,               0.000991
                     93,                0.67724,                 0.3575,                0.89263,                0.77948,                0.69566,                0.76325,                0.49423,                 1.1393,                0.60727,                 1.1214,               0.000892,               0.000892,               0.000892
                     94,                0.66696,                0.35007,                0.89114,                0.77764,                0.69615,                0.76356,                0.49434,                 1.1402,                0.60795,                 1.1223,               0.000793,               0.000793,               0.000793
                     95,                0.66673,                0.34784,                 0.8911,                0.77982,                0.69665,                0.76481,                0.49486,                 1.1411,                0.60854,                 1.1236,               0.000694,               0.000694,               0.000694
                     96,                0.66444,                0.34859,                0.88989,                0.77941,                0.69577,                0.76376,                 0.4946,                 1.1422,                0.60869,                 1.1246,               0.000595,               0.000595,               0.000595
                     97,                0.65458,                0.34351,                0.88733,                0.77566,                0.69698,                0.76339,                0.49434,                 1.1426,                0.60947,                 1.1255,               0.000496,               0.000496,               0.000496
                     98,                0.65665,                0.34435,                0.88882,                0.77655,                0.69638,                0.76307,                0.49436,                 1.1431,                0.61007,                 1.1265,               0.000397,               0.000397,               0.000397
                     99,                0.64993,                0.34091,                0.88422,                0.77615,                 0.6962,                0.76219,                0.49446,                 1.1439,                0.61037,                 1.1277,               0.000298,               0.000298,               0.000298
